username,score
flooroftests,0.05
stoicsavage,0.05
TheBoggartt,0.05
DjFunkmastaflex,0.05
DexGemsReal,0.05
NFTGUYY,0.05
Evan_ss6,0.05
cryptoian,0.05
knveth,0.05
0xNBS,0.041666667
traderpow,0.041666667
KookCapitalLLC,0.041666667
shahh,0.041666667
NewsyJohnson,0.041666667
poopie,0.041666667
notthreadguy,0.041666667
ZAGABOND,0.035714286
gmoneyNFT,0.035714286
0xsubmerged,0.035714286
Awawat_Trades,0.035714286
fattybagz,0.035714286
moonshilla,0.035714286
sweet__deedee,0.035714286
barneyxbt,0.033333333
batzdu,0.03125
Spvce,0.03125
farokh,0.027777778
franklinisbored,0.027777778
basedkarbon,0.027777778
cryptoezu,0.027777778
inversebrah,0.027777778
gabrielhaines,0.025
sampepper,0.025
TylerDurden,0.025
loomdart,0
zhoux773,0
nikitabier,0
yagamiofnft,0
AltcoinDailyio,0
loc_ji,0
lilsmoresy,0
nft66_666,0
0xGlamm,0
Aladin_meme,0
BTannadi,0
xMark0Polo,0
AndyJYGood68,0
lidangzzz,0
Andyccc26,0
zhansyuu,0
x_friendtech,0
lsp8940,0
neofriendsgame,0
nandafrakasa,0
0xAdelina,0
yaoyaole4399,0
zkay_eth,0
0xAvarice,0
mikedemarais,0
0xAngs,0
Auri_0x,0
zerobeta,0
yueko__,0
metaboners,0
BENBALLER,0
Aydan_Crypto,0
zeeaio,0
memeticpower,0
0xAdEN789,0
0xAgony,0
0xGlock,0
measley_eth,0
mbaril010,0
AxiomOfNoice,0
maybectrlfreak,0
yyctrader1,0
milady,0
AshleyDCan,0
mishkabuns,0
ymittal_NFT,0
msbreewc,0
luvllilyy,0
mrghostinvblog,0
zeydcarey,0
yelotree,0
machibigbrother,0
yixie10,0
Anunnaki3399,0
zevza0,0
misterblue2000,0
zestycheeto,0
BMTbbb,0
morellostorment,0
0xBumps,0
youneverknow71,0
moon_guurl,0
Ape4249,0
margodoge,0
nmsl_eth,0
simpelyfe,0
notEezzy,0
0xzuberg,0
s8n,0
swift_capital,0
tamtaytion,0
0xpeas,0
tangies_eth,0
tervoooo,0
theAzimandias,0
thedanielflora,0
roastyftw,0
0xs4mmy,0
thegallowboob,0
resaang,0
themafiaboss420,0
0xleonidas__,0
1kbxx,0
3LAU,0
thiccythot_,0
thisisindeed,0
racerinu,0
tillgrepp,0
quid_defi,0
0x_Prototype,0
tituslow22,0
quantum_jump22,0
3eleth,0
putsncalls24,0
0xchichi,0
sungjae_han,0
purchasable,0
0xfetty,0
shirleyusy,0
sjdedic,0
shinny427,0
0xggy,0
shill_ivey,0
shiftinbits,0
shekarnani42,0
0ximfat,0
shady_oak1,0
0xfhd_,0
sofamon_xyz,0
spacepixel,0
sergey69420,0
sumfattytuna,0
sprotogremlins,0
stablekey,0
seanonolennon,0
statelayer,0
stefancoh,0
scupytrooples,0
screentimes,0
steveaoki,0
satsdart,0
saorikiyomi,0
stevenshi_,0
sugoy_,0
tomkysar,0
tonyherrera,0
notapornfolder_,0
will__price,0
0xPhoenixCap,0
wabdoteth,0
parkeuneun1,0
whizwang,0
whoisdiarrhoea,0
0xMapleH,0
packyM,0
whyshebedamned,0
ozarknft,0
AMutantApe,0
wigger,0
0xLTR,0
AbashoNFT,0
voldemortxbt,0
willeth99,0
onlybejita,0
onetimebb,0
one1dae,0
Abu9ala7,0
wingkingeth,0
0xKirara,0
ojinslej2,0
wsbmod,0
odnumrey,0
nyaxeth,0
xAIDRAFOXx,0
peachmint00,0
pedrigavifrenki,0
3gmdev,0
818x1,0
tooluvan999,0
0xWives,0
torylanez,0
punk2498_,0
tradinglord,0
proto_jeff,0
trgnis,0
prop_999,0
777jorgeivan,0
pranksy,0
0xTimur,0
porounclemao,0
8892OS,0
penguin_curator,0
pokeepandaa,0
8xKaramel,0
0xTaengz,0
ujuuna999,0
upblissed,0
v3rsuseth,0
valdeande,0
veH0rny,0
perpstech,0
0xRice,0
viewfromhk,0
pepe,0
Mangorango22,0
frenfrenpro,0
Bamedi_,0
GotrillaGorilla,0
TikTokInvestors,0
H_Daneel_Olivaw,0
Trip_McN33ly,0
TruelyNoClue,0
Tszunami1,0
Grayson_Physioc,0
GraysonJAllen,0
Gr0wCrypt0,0
Vombatus_eth,0
bitcoinPalmer,0
VonMises14,0
Glug69420,0
GloriaYao14,0
GameFi1314,0
WarcMeinstein,0
Web3Nina,0
Who_Me_Yo,0
FullMetalTools,0
TiffanyFong_,0
Thothofcrypto,0
ThisMalaka,0
Therealtarzan7,0
SuperRareRoses,0
TCuniswap,0
TVS_Kolia,0
HsakaTrades,0
HouseofYogiX,0
TensaiCapital,0
TheJuanitaJCV,0
HayesGrier,0
TheNFTAsian_JP,0
TheOneWhiz,0
Harryleemedia,0
TheRealZrool,0
TheRollerGame,0
TheWinCon,0
The_Bogfather,0
The_Krake,0
The__Solstice,0
Winterz_GGG,0
Xeer,0
FroggyCyborg,0
alpinestar17,0
andrejzahvato84,0
FannyBrooke5,0
Fade,0
apecortex,0
FRIEND_TRACKER,0
FLC_FlooringLab,0
ashrobinqt,0
aug_eth,0
bagfaced,0
EthRydium,0
barneytheboi,0
barouch2jc,0
bayc1871,0
beguiledanimal,0
EriVlc,0
benleventhal,0
benroy__,0
andr3w,0
Fauji100,0
YantraDAO,0
allnick,0
FriendTekka,0
FrensTech,0
Youcoinorg,0
FreddieRaynolds,0
Zaziemuse,0
